"ASX code","Company name","Listing date","GICs industry group"
"BUB","BUBS AUSTRALIA LIMITED","1993-10-05","Food, Beverage & Tobacco"
"BUD","BUDDY TECHNOLOGIES LTD","2006-12-18","Consumer Durables & Apparel"
"BUG","BUDERIM GROUP LIMITED","1989-12-14","Food, Beverage & Tobacco"
"BUX","BUXTON RESOURCES LIMITED","2007-10-23","Materials"
"BUY","BOUNTY OIL & GAS NL","2002-02-05","Energy"
"BVS","BRAVURA SOLUTIONS LIMITED.","2016-11-16","Software & Services"
"BWF","BLACKWALL LIMITED","2011-10-21","Diversified Financials"
"BWP","BWP TRUST","1998-09-16","Real Estate"
"BWR","BLACKWALL PROPERTY TRUST","2011-10-28","Real Estate"
"BWX","BWX LIMITED","2015-11-11","Household & Personal Products"
"BXB","BRAMBLES LIMITED","2006-11-27","Commercial & Professional Services"
"BXN","BIOXYNE LIMITED","2000-12-14","Household & Personal Products"
"BYE","BYRON ENERGY LIMITED","2005-06-03","Energy"
"BYH","BRYAH RESOURCES LIMITED","2017-10-17","Materials"
"BYI","BEYOND INTERNATIONAL LIMITED","1987-06-12","Media & Entertainment"
"C6C","COPPER MOUNTAIN MINING CORPORATION","2018-04-06","Materials"
"CAA","CAPRAL LIMITED","1986-11-20","Materials"
